uuid,name,price_to_book,peg,pe,country,sector,ebitda_margin,gross_margin,operating_margin,year_pct_change,net_debt,revenue,ebitda,growth_level,growth_trend,ebitda_level,ebitda_trend,capex,total_asset
642b433c-1f94-4a9c-8165-aba8c74ce6ad,Beyond Inc,1.5854495,,,,,,,,,,,,-0.1064349871438619,-1.3619123721003124,-0.1775809648077321,0.32728685069751,17544000.0,400595000.0
1a4ca39b-0a62-4a91-be9e-b50d2a4506f0,Nanostring Technologies Inc,,,,,,,,,,,,,,,,,,
2d85a9e9-0a7d-4a2c-b251-cf34924da819,Editas Medicine Inc,56.222218,,,United States,Healthcare,-2.20159,-1.09237,-8.83186,0.75838923,-106351000.0,38693000.0,-85186000.0,-0.19157626454058296,-0.9143007855540431,,,607000.0,215629500.0
7fac560a-109a-4df2-b26c-794af68e61b6,Golar Lng,3.1209805,7.69,94.63333,Bermuda,Energy,0.37857,0.54482,0.35751998,0.45139945,1600480000.0,393521984.0,148976992.0,0.1919296213637426,3.4614642117355827,0.09820158726546407,0.7884462240014493,544992000.0,3618212250.0
6c157fbe-c978-487a-b7c8-a5fffa922c42,iStar Inc,,,,,,,,,,,,,,,,,,
2d472576-1485-467a-8456-c5df2f69b6ca,Veracyte Inc,2.5148466,,38.425926,United States,Healthcare,0.19236,0.72906995,0.16284001,0.32689655,-399727000.0,541742976.0,104212000.0,0.1854811517971542,-0.26397196048345645,0.17820364525519028,-0.2779938778523857,9677000.0,1358330250.0
e976d59d-8bdf-45df-abda-02e333362fe3,BEST Inc,,,,,,,,,,,,,,,,,,
a80f38cf-eef9-4b25-8603-8613f97542fd,Cooper Tire & Rubber Company,,,,,,,,,,,,,,,,,,
fc87bab3-6b7e-488c-9920-18fbf942e808,Sonos Inc,4.0239916,,86.82353,United States,Technology,0.0709,0.45008,-0.091120005,0.3964218,-190369992.0,1459852032.0,103503000.0,-0.049260369841428786,-0.8297724607061775,-0.059840114389068,-0.1478734243859248,21528000.0,849433250.0
217100e9-d74d-4970-8c77-7ceea02b7aeb,Tilray Brands Inc,1.7163684,,,Canada,Healthcare,0.02069,0.27678,-0.527,0.18222225,-81756000.0,858275008.0,17758000.0,0.11277855528043923,-57.78436405342935,0.13675450727943195,-2.2324704746619886,29169000.0,2082573500.0
3b6533b8-1f8c-407a-9bcc-5f29de9ee15f,Encore Capital Group Inc,1.792788,0.17,6.2881618,United States,Financial Services,0.38325,1.0,0.38702,1.0430539,3813821024.0,1851437952.0,709569984.0,0.21039017249061165,-2.6747509010328026,0.07092974451519118,-2.7670034272202413,24136000.0,5309922500.0
939acca5-b625-48a5-b177-fd1aec9bf3e3,NexPoint Residential Trust Inc,2.6939273,26.92,,United States,Real Estate,0.49293,0.60191,0.10743,-0.22311306,1537862056.0,251879008.0,124158000.0,-0.03242190057027117,-0.8991063244652701,-0.06524149467936802,-3.0802053402838347,,1864494750.0
49aa5d77-bb63-487e-90e8-5d8c3fccbfd5,Veradigm Inc,0.49411026,1.95,,United States,Healthcare,0.087969996,0.52451,0.16588,0.13636363,-273789984.0,588017024.0,51727000.0,,,,,,
9f0cfadb-849c-48d0-b8b6-452a968558ce,Getty Realty Corp,1.8377594,1.27,21.529411,United States,Real Estate,0.8789,0.96139,0.47073,0.119986296,519794984.0,227240992.0,199722000.0,0.09440612119712011,-0.13871214967281412,0.07772161268020261,-0.48001267805946507,426000.0,2106038500.0
3fc28cfa-cd2a-4c07-b4da-2fdf4f0dc8dd,Veritex Holdings Inc,,,,,,,,,,,,,,,,,,
3b016141-51d2-4c61-a231-5d8d51a260d3,Cortexyme Inc,,,,,,,,,,,,,,,,,,
ad52d011-7d7e-48f9-a69c-4f101de8845d,Luminex Corp,,,,,,,,,,,,,,,,,,
7a74a581-95ab-4645-bd77-68f72b3c5b6c,Pathward Financial Inc,2.0229487,0.2,9.580262,United States,Financial Services,0.0,0.0,0.38235,-0.015403569,-74900000.0,777176000.0,,0.040086834478722855,-0.9425502330990889,0.04999912775766313,-0.6023994215560241,214204000.0,7268698000.0
